time,date,temp_c
1200,2012-08-28,NA
1300,2012-08-28,NA
1400,2012-08-28,NA
1500,2012-08-28,NA
1e3,2012-08-29,NA
1100,2012-08-29,NA
1200,2012-08-29,NA
1300,2012-08-29,NA
1400,2012-08-29,NA
1500,2012-08-29,NA
1e3,2012-08-30,NA
1100,2012-08-30,NA
1200,2012-08-30,NA
1300,2012-08-30,NA
1400,2012-08-30,NA
1500,2012-08-30,NA
1e3,2012-08-31,NA
1100,2012-08-31,NA
1200,2012-08-31,NA
1300,2012-08-31,NA
1400,2012-08-31,NA
1500,2012-08-31,NA
1e3,2012-09-01,NA
1100,2012-09-01,NA
1200,2012-09-01,NA
1300,2012-09-01,NA
1400,2012-09-01,NA
1500,2012-09-01,NA
1e3,2012-09-02,NA
1100,2012-09-02,NA
1200,2012-09-02,NA
1300,2012-09-02,NA
1400,2012-09-02,NA
1500,2012-09-02,NA
1e3,2012-09-03,NA
1100,2012-09-03,NA
1200,2012-09-03,NA
1300,2012-09-03,NA
1400,2012-09-03,NA
1500,2012-09-03,NA
1e3,2012-09-04,NA
1100,2012-09-04,NA
1200,2012-09-04,NA
1300,2012-09-04,NA
1400,2012-09-04,NA
1500,2012-09-04,NA
